Hasil PISA 2015 Brazil dan Italia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NEGARA,KLMN,UMUR,PLING,PIBU,PBPK,PORTU,LUARJAM,MMAT,MBHS,MSNS,MOTIF,KOLAB,NILAIKOL,EMO,SOSEKO,MAT,BACA,SAINS
BRA,1,"15,75","3,2873",6,5,6,9,250,350,150,"0,8598","0,0407","-0,482","0,4662","-0,1623","405,038","450,663","419,334"
BRA,2,"15,83","3,2811",6,6,6,42,360,180,270,"-0,3263","-1,198","-0,4911","0,0264","1,8555","494,511","433,228","463,175"
BRA,2,"16,33","3,2811",6,6,6,32,225,180,180,"0,3377","2,2879","1,0765","1,0991","1,5992","458,856",3NA.273,"468,834"
BRA,1,"15,58","3,2811",6,6,6,5,180,180,225,"0,2064","-0,9802","-1,5159","1,0991","1,5099","455,018","463,709","452,433"
BRA,1,"15,67","3,2811",6,6,6,23,200,200,450,"0,0183","2,2879","1,2787","1,0991","1,4906","462,244","364,166","490,668"
BRA,2,"16,33","3,2811",6,6,6,8,200,200,200,"-0,2776","-0,2882","0,0333","1,0991","1,1216","577,605","585,476","582,545"
BRA,2,16,"3,2811",6,6,6,15,240,240,180,"0,1574","0,3177","1,3777","1,0991","1,0554","555,613","663,11","641,844"
BRA,2,16,"3,2811",6,6,6,26,250,250,250,"1,8543","1,164","-0,3","-0,889","0,7328","510,377","565,698","543,165"
BRA,2,"15,92","3,2811",5,5,5,57,150,150,250,"0,2937","0,4252","0,3821","0,4662","0,6622","486,185","446,538","499,089"
BRA,2,"15,67","3,2811",6,4,6,14,250,250,550,"1,3961","1,4116","2,1017","0,4662","0,5966","542,73","578,449","554,362"
BRA,1,"16,33","3,2811",4,4,4,35,300,200,250,"-0,5996","0,9675","2,1017","1,0991","0,521","529,966","570,263","526,012"
BRA,1,"16,08","3,2811",4,6,6,15,250,250,300,"1,1359","0,9675","0,8188","1,0991","0,5146","438,681","616,655","537,839"
BRA,2,"16,08","3,2811",4,2,4,4,250,250,200,0.NA99,"1,1394","0,6316","1,0991","0,3304","499,556","512,098","508,212"
BRA,2,"16,08","3,2811",6,6,6,42,225,90,180,"-0,1437","0,9455","-0,4878","-0,889","0,2789","477,063","477,715","473,873"
BRA,2,"16,17","3,2811",4,6,6,10,250,250,100,"-0,3263","-1,1664","1,4758","1,0991","0,2757","388,294","360,283","378,832"
BRA,2,16,"3,2811",1,6,6,45,180,225,270,"0,1801","0,0407","-1,0956","0,9675","0,2702","427,905","521,924","485,031"
BRA,1,"15,75","3,2811",4,4,4,8,200,200,100,"1,8543","1,1156","-0,482","0,3838","0,2573","496,364","528,421","503,12"
BRA,1,"15,67","3,2811",4,4,4,20,160,160,120,"-0,1651","-0,2882","0,0333","-0,2495","0,2378","338,374","394,538","326,863"
BRA,2,"15,67","3,2811",4,3,4,45,180,360,450,"1,3961","0,8126","0,6828","-1,3869","0,2339","529,591","582,904","563,077"
BRA,1,"15,42","3,2811",6,6,6,61,350,420,420,"0,1801","1,3264","-0,4911","1,0991","-0,016",1NA.788,"320,816","265,959"
