"cap_waktu","jalur","skor_akhir","skor_verbal","skor_kuantitatif","skor_pemecahan_masalah
"
2023-08-08 13:17:18.717,"Targeted",140,50,40,50
2023-08-08 11:07:41.936,"Afirmasi",215,90,75,50
2023-08-08 10:24:12.593,"Targeted",170,70,50,50
2023-08-08 17:16:52.588,"Targeted",160,70,55,35
2023-08-08 13:38:43.996,"Targeted",195,85,65,45
2023-08-08 11:56:14.738,"Targeted",175,80,50,45
2023-08-08 15:10:47.788,"Targeted",170,75,75,20
2023-08-08 10:22:40.973,"Targeted",200,85,65,50
2023-08-08 13:36:55.741,"Targeted",165,75,45,45
2023-08-07 16:27:41.189,"Afirmasi",185,70,75,40
2023-08-08 10:31:13.547,"Targeted",195,85,65,45
2023-08-08 15:24:27.415,"Targeted",215,80,95,40
2023-08-08 12:29:26.416,"Targeted",195,95,55,45
2023-08-08 12:14:16.869,"Targeted",185,90,60,35
2023-08-08 11:37:18.588,"Targeted",120,65,20,35
2023-08-08 18:16:02.445,"Targeted",150,55,50,45
2023-08-08 12:57:22.874,"Targeted",155,65,65,25
2023-08-08 09:19:52.313,"Afirmasi",150,75,30,45
2023-08-08 19:15:55.27,"Targeted",180,75,45,60
2023-08-08 16:21:32.571,"Targeted",180,75,55,50
2023-08-07 16:35:00.872,"Afirmasi",135,50,50,35
2023-08-08 16:24:20.494,"Targeted",175,70,60,45
2023-08-08 11:23:50.75,"Targeted",175,70,55,50
2023-08-07 18:40:27.713,"Afirmasi",125,65,30,30
2023-08-08 08:25:17.649,"Regular",185,75,65,45
